名前,住所,最寄り駅１,最寄り駅２,最寄り駅３,築年数,建物全体の階数,階数,賃料,管理費,敷金,礼金,間取り,面積,URL,建物階数_最小,建物階数_最大,階数_最小,階数_最大
パーク・ハイム目黒碑文谷,東京都目黒区碑文谷１,東急東横線/学芸大学駅 歩15分,東急東横線/都立大学駅 歩18分,東急目黒線/西小山駅 歩18分,26,地下1地上8階建,3階,218000,0,218000,218000,2LDK,66.54,https://suumo.jp/chintai/jnc_000086968363/?bc=100357062593,-1,8,3,3
東急東横線 学芸大学駅 4階建 築33年,東京都目黒区目黒本町２,東急東横線/学芸大学駅 歩10分,東急目黒線/西小山駅 歩19分,東急目黒線/武蔵小山駅 歩18分,33,4階建,4階,113000,3000,113000,113000,2DK,36.73,https://suumo.jp/chintai/jnc_000080222531/?bc=100353976439,0,4,4,4
東急東横線 学芸大学駅 4階建 築33年,東京都目黒区目黒本町２,東急東横線/学芸大学駅 歩10分,東急目黒線/西小山駅 歩19分,東急目黒線/武蔵小山駅 歩18分,33,4階建,4階,113000,3000,113000,113000,2K,36.73,https://suumo.jp/chintai/jnc_000084537264/?bc=100356908392,0,4,4,4
東急目黒線 不動前駅 3階建 築29年,東京都目黒区下目黒４,東急目黒線/不動前駅 歩13分,東急目黒線/武蔵小山駅 歩18分,ＪＲ山手線/目黒駅 歩19分,29,3階建,3階,115000,5000,115000,115000,2K,35.72,https://suumo.jp/chintai/jnc_000084909190/?bc=100353259054,0,3,3,3
パークサイドハウス,東京都目黒区目黒本町２,東急東横線/学芸大学駅 歩14分,東急目黒線/武蔵小山駅 歩14分,東急目黒線/西小山駅 歩17分,47,2階建,1階,79000,2000,79000,79000,2K,30,https://suumo.jp/chintai/jnc_000085494167/?bc=100347554806,0,2,1,1
東急東横線 中目黒駅 3階建 築14年,東京都目黒区上目黒３,東急東横線/中目黒駅 歩6分,東急東横線/祐天寺駅 歩12分,ＪＲ山手線/恵比寿駅 歩19分,14,3階建,1階,230000,5000,230000,0,2DK,45.43,https://suumo.jp/chintai/jnc_000067943109/?bc=100348539506,0,3,1,1
東急目黒線 武蔵小山駅 6階建 新築,東京都目黒区目黒本町３,東急目黒線/武蔵小山駅 歩5分,東急目黒線/西小山駅 歩13分,東急池上線/戸越銀座駅 歩22分,0,6階建,1階,183000,15000,0,0,2DK,40.06,https://suumo.jp/chintai/jnc_000086672281/?bc=100355042950,0,6,1,1
東急目黒線 武蔵小山駅 6階建 新築,東京都目黒区目黒本町３,東急目黒線/武蔵小山駅 歩5分,東急目黒線/西小山駅 歩13分,東急池上線/戸越銀座駅 歩22分,0,6階建,1階,185000,15000,0,0,2DK,41.44,https://suumo.jp/chintai/jnc_000086672280/?bc=100355781110,0,6,1,1
東急目黒線 武蔵小山駅 6階建 新築,東京都目黒区目黒本町３,東急目黒線/武蔵小山駅 歩5分,東急目黒線/西小山駅 歩13分,東急池上線/戸越銀座駅 歩22分,0,6階建,2階,185000,15000,0,0,2DK,40.14,https://suumo.jp/chintai/jnc_000086672282/?bc=100355038317,0,6,2,2
東急目黒線 武蔵小山駅 6階建 新築,東京都目黒区目黒本町３,東急目黒線/武蔵小山駅 歩5分,東急目黒線/西小山駅 歩13分,東急池上線/戸越銀座駅 歩22分,0,6階建,2階,188000,15000,0,0,2DK,41.44,https://suumo.jp/chintai/jnc_000086672286/?bc=100356209645,0,6,2,2
東急目黒線 武蔵小山駅 6階建 新築,東京都目黒区目黒本町３,東急目黒線/武蔵小山駅 歩5分,東急目黒線/西小山駅 歩13分,東急池上線/戸越銀座駅 歩22分,0,6階建,1階,190000,15000,0,0,2DK,40.14,https://suumo.jp/chintai/jnc_000086672276/?bc=100356209162,0,6,1,1
東急目黒線 武蔵小山駅 6階建 新築,東京都目黒区目黒本町３,東急目黒線/武蔵小山駅 歩5分,東急目黒線/西小山駅 歩13分,東急池上線/戸越銀座駅 歩22分,0,6階建,3階,190000,15000,0,0,2DK,40.14,https://suumo.jp/chintai/jnc_000086672287/?bc=100356622891,0,6,3,3
東急目黒線 武蔵小山駅 6階建 新築,東京都目黒区目黒本町３,東急目黒線/武蔵小山駅 歩5分,東急目黒線/西小山駅 歩13分,東急池上線/戸越銀座駅 歩22分,0,6階建,2階,191000,15000,0,0,2DK,40.13,https://suumo.jp/chintai/jnc_000086672285/?bc=100355040045,0,6,2,2
東急目黒線 武蔵小山駅 6階建 新築,東京都目黒区目黒本町３,東急目黒線/武蔵小山駅 歩5分,東急目黒線/西小山駅 歩13分,東急池上線/戸越銀座駅 歩22分,0,6階建,1階,193000,15000,0,0,2DK,40.31,https://suumo.jp/chintai/jnc_000086672284/?bc=100356209367,0,6,1,1
